epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1104.23,0.24459,0.19852,1.11506,0.99988,1,0.995,0.99493,0.13047,0.11567,1.05641,0.00026422,0.00026422,0.00026422
87,1116.65,0.24197,0.19625,1.10677,0.9999,1,0.995,0.99485,0.12951,0.11641,1.03918,0.000247716,0.000247716,0.000247716
88,1129.59,0.2451,0.19929,1.11148,0.99983,1,0.995,0.99498,0.12897,0.1147,1.01901,0.000231213,0.000231213,0.000231213
89,1142.59,0.24155,0.19594,1.10259,0.99988,1,0.995,0.99498,0.12736,0.11016,1.01936,0.00021471,0.00021471,0.00021471
90,1155.44,0.23824,0.19352,1.09966,0.99989,1,0.995,0.99489,0.12278,0.1104,1.00784,0.000198206,0.000198206,0.000198206
91,1169.91,0.13657,0.13256,1.0064,0.99989,1,0.995,0.99494,0.12444,0.11231,1.05353,0.000181703,0.000181703,0.000181703
92,1181.95,0.1327,0.12789,1.00112,0.9999,1,0.995,0.99498,0.12634,0.10986,1.06261,0.0001652,0.0001652,0.0001652
93,1193.94,0.13092,0.12694,1.00924,0.9999,1,0.995,0.99493,0.12231,0.11042,1.05561,0.000148696,0.000148696,0.000148696
94,1205.99,0.13001,0.12634,1.00984,0.9999,1,0.995,0.99495,0.12119,0.1113,1.02302,0.000132193,0.000132193,0.000132193
95,1217.69,0.12874,0.12475,1.00236,0.99989,1,0.995,0.99498,0.11999,0.10917,1.02336,0.00011569,0.00011569,0.00011569
96,1229.56,0.12843,0.12437,0.9985,0.99989,1,0.995,0.99493,0.12135,0.11024,1.02493,9.91865e-05,9.91865e-05,9.91865e-05
97,1241.47,0.12755,0.12337,0.99644,0.9999,1,0.995,0.99491,0.12009,0.10863,1.01375,8.26832e-05,8.26832e-05,8.26832e-05
98,1253.24,0.12711,0.12252,0.99397,0.9999,1,0.995,0.99496,0.11974,0.1069,1.00721,6.61799e-05,6.61799e-05,6.61799e-05
99,1265.31,0.12555,0.12168,0.99669,0.9999,1,0.995,0.99496,0.11968,0.10532,1.01229,4.96766e-05,4.96766e-05,4.96766e-05
100,1277.37,0.12469,0.12067,0.99412,0.9999,1,0.995,0.99493,0.11877,0.10722,1.01673,3.31733e-05,3.31733e-05,3.31733e-05
