                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                  1.039,                0.87957,                 1.4951,                0.79654,                0.82217,                0.86366,                0.63726,                 0.9678,                0.77404,                 1.4381,              0.0013532,              0.0013532,              0.0013532
                     51,                0.98683,                0.84728,                 1.4738,                0.79073,                   0.82,                0.84176,                0.62799,                0.98252,                0.75874,                  1.449,                0.00134,                0.00134,                0.00134
                     52,                0.97045,                0.83805,                  1.451,                0.83213,                0.79309,                0.86845,                0.63884,                0.98958,                0.74156,                 1.4544,              0.0013268,              0.0013268,              0.0013268
                     53,                0.97491,                 0.8446,                 1.4583,                0.75591,                0.83333,                0.85569,                0.63683,                0.98116,                0.76624,                 1.4451,              0.0013136,              0.0013136,              0.0013136
                     54,                0.97681,                0.83691,                 1.4658,                0.78461,                0.84667,                0.86499,                0.63212,                 1.0149,                0.76456,                  1.486,              0.0013004,              0.0013004,              0.0013004
                     55,                0.98128,                0.82791,                 1.4687,                0.80013,                0.81402,                0.86229,                0.65717,                0.96747,                0.73101,                 1.4459,              0.0012872,              0.0012872,              0.0012872
                     56,                0.98614,                0.84402,                 1.4591,                0.79152,                 0.7973,                0.87338,                0.64759,                0.99845,                0.77993,                 1.4612,               0.001274,               0.001274,               0.001274
                     57,                0.97319,                 0.8215,                 1.4437,                0.74344,                0.85967,                0.85417,                0.64187,                0.94893,                0.76192,                 1.4162,              0.0012608,              0.0012608,              0.0012608
                     58,                0.93613,                0.80517,                 1.4238,                0.80646,                0.84333,                 0.8578,                0.64266,                0.96167,                0.74019,                 1.4161,              0.0012476,              0.0012476,              0.0012476
                     59,                0.96832,                0.84852,                 1.4569,                0.75312,                0.83667,                0.83459,                0.62471,                0.97442,                 0.8167,                 1.4311,              0.0012344,              0.0012344,              0.0012344
                     60,                0.93079,                0.82795,                 1.4102,                 0.7687,                0.84667,                0.84065,                0.62762,                0.98084,                 0.7447,                 1.4402,              0.0012212,              0.0012212,              0.0012212
                     61,                0.95369,                0.80499,                 1.4301,                0.78843,                0.80741,                0.86298,                0.63125,                 1.0242,                0.75326,                 1.4996,               0.001208,               0.001208,               0.001208
                     62,                0.98245,                0.81846,                 1.4579,                0.78912,                   0.85,                0.87974,                 0.6515,                 1.0084,                0.73682,                 1.4568,              0.0011948,              0.0011948,              0.0011948
                     63,                0.93566,                0.80454,                 1.4257,                0.78878,                   0.82,                0.85263,                0.64257,                0.99487,                0.76172,                 1.4577,              0.0011816,              0.0011816,              0.0011816
                     64,                0.91678,                0.80659,                 1.4045,                0.78428,                   0.81,                0.86661,                0.64729,                0.94415,                0.74613,                  1.421,              0.0011684,              0.0011684,              0.0011684
                     65,                0.92405,                0.79637,                 1.4094,                 0.7825,                0.86345,                0.88249,                0.66832,                0.96351,                0.70471,                 1.4086,              0.0011552,              0.0011552,              0.0011552
                     66,                0.92773,                0.79464,                 1.4045,                 0.7412,                 0.8974,                0.87517,                 0.6609,                0.93731,                0.71586,                  1.392,               0.001142,               0.001142,               0.001142
                     67,                0.91986,                0.80185,                 1.3901,                0.74065,                0.89482,                0.85238,                0.63079,                0.99756,                0.73243,                 1.4251,              0.0011288,              0.0011288,              0.0011288
                     68,                0.92974,                0.77939,                 1.4123,                0.76655,                0.92667,                0.89164,                0.67164,                0.95273,                 0.6927,                 1.4253,              0.0011156,              0.0011156,              0.0011156
                     69,                0.89438,                0.77298,                 1.3811,                0.79763,                 0.8671,                0.88303,                0.66969,                0.96123,                0.68568,                 1.4102,              0.0011024,              0.0011024,              0.0011024
                     70,                  0.938,                0.76641,                 1.4191,                0.79989,                 0.8794,                0.88581,                0.66562,                0.98149,                0.70613,                 1.4378,              0.0010892,              0.0010892,              0.0010892
                     71,                0.90655,                0.77536,                 1.3854,                0.81389,                   0.83,                0.86561,                 0.6592,                0.92912,                0.71258,                 1.4135,               0.001076,               0.001076,               0.001076
                     72,                0.90996,                0.78989,                 1.3847,                0.81538,                   0.83,                0.87305,                0.66389,                0.97791,                0.70623,                 1.4591,              0.0010628,              0.0010628,              0.0010628
                     73,                0.93791,                0.75681,                 1.4187,                0.77097,                0.85277,                 0.8713,                0.66374,                0.92639,                0.71435,                 1.4012,              0.0010496,              0.0010496,              0.0010496
                     74,                0.87467,                0.75149,                 1.3678,                0.78472,                0.86269,                0.88661,                0.68057,                0.90655,                0.68556,                  1.378,              0.0010364,              0.0010364,              0.0010364
                     75,                0.90564,                0.76923,                 1.3783,                0.76114,                0.91333,                0.89134,                0.68257,                0.93827,                0.67891,                 1.4042,              0.0010232,              0.0010232,              0.0010232
