                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.66247,                0.54761,                 1.8245,                0.87675,                0.93718,                0.95209,                 0.8851,                0.40132,                0.41426,                 1.6637,             0.00034674,             0.00034674,             0.00034674
                     82,                0.62382,                0.52183,                 1.7699,                0.90854,                0.92596,                0.95495,                0.88872,                0.41172,                0.40947,                 1.6462,             0.00033023,             0.00033023,             0.00033023
                     83,                0.62643,                0.52933,                 1.8026,                0.92689,                0.90791,                0.95208,                0.88498,                0.41583,                0.42345,                 1.6649,             0.00031373,             0.00031373,             0.00031373
                     84,                0.63346,                0.52275,                 1.7852,                0.94363,                0.88698,                0.95381,                0.88807,                 0.4116,                  0.413,                   1.66,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.6314,                0.52678,                 1.7868,                0.93022,                0.92445,                0.95022,                0.88223,                 0.4043,                0.39785,                 1.6603,             0.00028072,             0.00028072,             0.00028072
                     86,                0.62319,                0.51485,                 1.7952,                 0.8974,                0.94077,                0.95573,                0.88847,                0.41117,                0.41071,                 1.6517,             0.00026422,             0.00026422,             0.00026422
                     87,                0.62048,                0.51579,                 1.7544,                0.91739,                0.89734,                0.94454,                0.87516,                0.40798,                0.43229,                 1.6498,             0.00024772,             0.00024772,             0.00024772
                     88,                0.63113,                0.52649,                  1.759,                0.92526,                0.93007,                0.96611,                0.90021,                0.40195,                0.37424,                  1.654,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.6395,                0.50417,                 1.7986,                0.91146,                0.94082,                0.96374,                0.89891,                0.39838,                0.38661,                 1.6546,             0.00021471,             0.00021471,             0.00021471
                     90,                0.62734,                0.52085,                 1.7828,                0.90291,                 0.9462,                0.95835,                0.89361,                0.40264,                 0.3981,                 1.6423,             0.00019821,             0.00019821,             0.00019821
                     91,                0.42696,                0.32336,                 1.6686,                0.92528,                0.93066,                0.95382,                0.88298,                0.40617,                0.38672,                 1.6583,              0.0001817,              0.0001817,              0.0001817
                     92,                0.41803,                0.29517,                 1.6679,                0.89586,                0.92726,                0.94818,                0.88463,                0.39721,                0.42088,                  1.647,              0.0001652,              0.0001652,              0.0001652
                     93,                0.40892,                0.28139,                 1.6578,                0.89613,                0.93914,                 0.9502,                0.88436,                0.39406,                0.40187,                 1.6313,              0.0001487,              0.0001487,              0.0001487
                     94,                0.41057,                0.28851,                 1.6573,                0.90753,                0.91117,                0.94497,                0.88062,                0.39485,                  0.412,                 1.6322,             0.00013219,             0.00013219,             0.00013219
                     95,                0.40646,                0.28909,                  1.642,                0.92221,                0.93483,                0.95754,                0.89442,                0.39383,                0.38814,                 1.6257,             0.00011569,             0.00011569,             0.00011569
                     96,                0.40152,                0.28213,                 1.6473,                0.91149,                0.92283,                0.94504,                0.88389,                 0.3864,                0.40816,                 1.6197,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.39802,                0.27268,                 1.6458,                0.92319,                0.91635,                0.95189,                 0.8924,                0.39178,                0.40438,                 1.6444,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.38912,                0.26622,                 1.6198,                0.92704,                0.91163,                0.95054,                0.88825,                0.38813,                0.40029,                 1.6268,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.38626,                0.26523,                 1.6303,                0.92306,                0.91779,                0.94979,                0.88715,                0.39148,                0.39709,                 1.6269,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.39275,                0.26973,                 1.6303,                  0.926,                0.92312,                0.94951,                0.88737,                0.38816,                0.39073,                 1.6374,             3.3173e-05,             3.3173e-05,             3.3173e-05
