                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.25562,                0.20451,                 1.1782,                0.99989,                      1,                  0.995,                0.99491,                0.14433,                0.12684,                 1.1041,             0.00057778,             0.00057778,             0.00057778
                     68,                0.25655,                0.20375,                 1.1756,                0.99989,                      1,                  0.995,                 0.9949,                0.14004,                0.13234,                 1.1014,             0.00056128,             0.00056128,             0.00056128
                     69,                0.25533,                0.20415,                 1.1724,                0.99988,                      1,                  0.995,                0.99493,                0.13088,                0.12511,                 1.1722,             0.00054478,             0.00054478,             0.00054478
                     70,                0.25385,                0.20195,                 1.1801,                 0.9999,                      1,                  0.995,                0.99499,                0.11673,                0.12361,                 1.0943,             0.00052827,             0.00052827,             0.00052827
                     71,                0.25471,                0.20416,                 1.1773,                 0.9999,                      1,                  0.995,                0.99493,                0.13619,                0.12714,                 1.0784,             0.00051177,             0.00051177,             0.00051177
                     72,                0.25064,                0.20168,                 1.1776,                 0.9999,                      1,                  0.995,                0.99496,                0.12219,                0.12268,                 1.1037,             0.00049527,             0.00049527,             0.00049527
                     73,                0.25031,                 0.1995,                 1.1749,                0.99989,                      1,                  0.995,                0.99481,                0.12745,                 0.1253,                 1.1291,             0.00047876,             0.00047876,             0.00047876
                     74,                0.24633,                0.19429,                 1.1611,                 0.9999,                      1,                  0.995,                0.99498,                0.12305,                0.12053,                 1.0951,             0.00046226,             0.00046226,             0.00046226
                     75,                0.25198,                0.20043,                 1.1793,                 0.9999,                      1,                  0.995,                  0.995,                 0.1222,                0.12234,                 1.1032,             0.00044576,             0.00044576,             0.00044576
                     76,                0.24638,                0.19551,                 1.1698,                 0.9999,                      1,                  0.995,                  0.995,                0.11873,                0.11813,                  1.096,             0.00042925,             0.00042925,             0.00042925
                     77,                0.24232,                0.19585,                 1.1692,                 0.9999,                      1,                  0.995,                0.99499,                 0.1195,                0.11643,                 1.0983,             0.00041275,             0.00041275,             0.00041275
                     78,                0.24053,                0.19137,                 1.1676,                 0.9999,                      1,                  0.995,                0.99497,                0.12162,                0.11725,                 1.1217,             0.00039625,             0.00039625,             0.00039625
                     79,                0.24296,                  0.192,                 1.1729,                 0.9999,                      1,                  0.995,                0.99497,                0.11205,                0.11581,                 1.1027,             0.00037974,             0.00037974,             0.00037974
                     80,                0.23957,                0.18953,                 1.1641,                 0.9999,                      1,                  0.995,                0.99494,                0.12477,                0.11963,                  1.097,             0.00036324,             0.00036324,             0.00036324
                     81,                0.24049,                0.19009,                 1.1675,                 0.9999,                      1,                  0.995,                0.99498,                 0.1214,                0.11704,                 1.0924,             0.00034674,             0.00034674,             0.00034674
